question,ground_truth,contexts,evolution_type,query_style,query_length,synthesizer_name
Khi nào là thoi gian ky cho luat dat dai theo thong tin da duoc cung cap?,Thời gian ký cho Luật Đất đai là 21.03.2024 15:22:01 +07:00.,['Người ký: CỔNG THÔNG TIN ĐIỆN TỬ CHÍNH PHỦ\nEmail: thongtinchinhphu@chinhphu.vn Cơ quan: VĂN PHÒNG CHÍNH PHỦ Thời gian ký: 21.03.2024 15:22:01 +07:00\nCÔNG BÁO/Số 363 + 364/Ngày 01-3-2024\t3\nQUỐC HỘI\nLuật số: 31/2024/QH15\n\nCỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM\nĐộc lập - Tự do - Hạnh phúc\n\n\n\n\nLUẬT\nĐẤT ĐAI\n\nCăn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam; Quốc hội ban hành Luật Đất đai.\nChương I QUY ĐỊNH CHUNG'],simple,MISSPELLED,LONG,single_hop_specific_query_synthesizer
Cộng hòa xã hội chủ nghĩa Việt Nam có luật gì về đất đai?,"Luật này quy định về chế độ sở hữu đất đai, quyền hạn và trách nhiệm của Nhà nước đại diện chủ sở hữu toàn dân về đất đai và thống nhất quản lý về đất đai, chế độ quản lý và sử dụng đất đai, quyền và nghĩa vụ của công dân, người sử dụng đất đối với đất đai thuộc lãnh thổ của nước Cộng hòa xã hội chủ nghĩa Việt Nam.","['Điều 1. Phạm vi điều chỉnh\nLuật này quy định về chế độ sở hữu đất đai, quyền hạn và trách nhiệm của Nhà nước đại diện chủ sở hữu toàn dân về đất đai và thống nhất quản lý về đất đai, chế độ quản lý và sử dụng đất đai, quyền và nghĩa vụ của công dân, người sử dụng đất đối với đất đai thuộc lãnh thổ của nước Cộng hòa xã hội chủ nghĩa Việt Nam.\nĐiều 2. Đối tượng áp dụng\n    1. Cơ quan nhà nước thực hiện quyền hạn và trách nhiệm đại diện chủ sở hữu toàn dân về đất đai, thực hiện nhiệm vụ thống nhất quản lý nhà nước về đất đai.\n    2. Người sử dụng đất.\n    3. Các đối tượng khác có liên quan đến việc quản lý, sử dụng đất đai.\nĐiều 3. Giải thích từ ngữ\nTrong Luật này, các từ ngữ dưới đây được hiểu như sau:\n    1. Bản đồ địa chính là bản đồ thể hiện các thửa đất và các đối tượng địa lý có liên quan, lập theo đơn vị hành chính cấp xã hoặc theo đơn vị hành chính cấp huyện nơi không thành lập đơn vị hành chính cấp xã, được cơ quan nhà nước có thẩm quyền xác nhận.']",simple,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
Chính phủ có vai trò gì trong việc quản lý đất đai và quyền sử dụng đất nông nghiệp?,"Chính phủ có vai trò trong việc quản lý đất đai thông qua việc bồi thường về đất, tức là trả lại giá trị quyền sử dụng đất của diện tích đất thu hồi cho người có đất thu hồi. Ngoài ra, cá nhân trực tiếp sản xuất nông nghiệp là những người đã được Nhà nước giao đất, cho thuê đất, và công nhận quyền sử dụng đất nông nghiệp, từ đó có thu nhập từ sản xuất nông nghiệp theo quy định của Chính phủ.","['2. Bản đồ hiện trạng sử dụng đất là bản đồ thể hiện sự phân bố các loại đất tại một thời điểm xác định, được lập theo từng đơn vị hành chính các cấp, theo từng vùng kinh tế - xã hội.\n    3. Bản đồ quy hoạch sử dụng đất là bản đồ được lập tại thời điểm đầu kỳ quy hoạch, thể hiện nội dung phân bố các loại đất tại thời điểm cuối kỳ quy hoạch của quy hoạch đó.\n    4. Bảo vệ, cải tạo, phục hồi đất là việc áp dụng các biện pháp quản lý, kỹ thuật, cơ giới, sinh học, hữu cơ tác động vào đất để xử lý đất bị ô nhiễm, phục hồi đất bị thoái hóa.\n    5. Bồi thường về đất là việc Nhà nước trả lại giá trị quyền sử dụng đất của diện tích đất thu hồi cho người có đất thu hồi.\n    6. Cá nhân trực tiếp sản xuất nông nghiệp là cá nhân đã được Nhà nước giao đất, cho thuê đất, công nhận quyền sử dụng đất nông nghiệp; nhận chuyển quyền sử dụng đất nông nghiệp mà có thu nhập từ sản xuất nông nghiệp trên đất đó theo quy định của Chính phủ.']",simple,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
What are the key definitions and concepts outlined in the Luật regarding land use and investment?,"The Luật outlines several key definitions and concepts related to land use and investment. Firstly, 'Chi phí đầu tư vào đất còn lại' refers to the reasonable costs that land users have directly invested in the land for its intended use, which have not been fully recovered by the time the state reclaims the land. Secondly, 'Chỉ tiêu sử dụng đất' is defined as the area of each type of land specified in the land use planning and plans at various levels, determined by competent state authorities for allocation during the planning process. Additionally, 'Chiếm đất' refers to the unauthorized use of land managed by the state without permission from the competent authority or the legal land user. Lastly, 'Chủ đầu tư' is defined as the investor selected to implement a land-use project, who is granted land, leased land, or permitted to change the land use purpose according to the regulations of the Luật.","['7. Chi phí đầu tư vào đất còn lại là chi phí hợp lý mà người sử dụng đất đã đầu tư trực tiếp vào đất phù hợp với mục đích sử dụng đất nhưng đến thời điểm Nhà nước thu hồi đất còn chưa thu hồi hết.\n    8. Chỉ tiêu sử dụng đất là diện tích đất của từng loại đất được xác định trong quy hoạch, kế hoạch sử dụng đất các cấp do cơ quan nhà nước có thẩm quyền xác định để phân bổ trong quá trình lập quy hoạch, kế hoạch sử dụng đất.\n    9. Chiếm đất là việc sử dụng đất do Nhà nước đã quản lý mà chưa được cơ quan nhà nước có thẩm quyền cho phép hoặc sử dụng đất của người sử dụng đất hợp pháp khác mà chưa được người đó cho phép.\n    10. Chủ đầu tư dự án đầu tư có sử dụng đất (sau đây gọi là chủ đầu tư) là nhà đầu tư theo quy định của pháp luật về đầu tư, pháp luật có liên quan đã được lựa chọn để thực hiện dự án đầu tư có sử dụng đất và được giao đất, cho thuê đất, chuyển mục đích sử dụng đất theo quy định của Luật này.']",simple,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer
Cộng hòa xã hội chủ nghĩa Việt Nam có những quy định gì về chuyển mục đích sử dụng đất và chuyển quyền sử dụng đất?,"Cộng hòa xã hội chủ nghĩa Việt Nam quy định rằng chuyển mục đích sử dụng đất là việc người sử dụng đất được thay đổi từ mục đích sử dụng đất này sang mục đích sử dụng đất khác theo quy định của Luật. Đồng thời, chuyển quyền sử dụng đất là việc chuyển giao quyền sử dụng đất từ người này sang người khác thông qua hình thức chuyển đổi, chuyển nhượng, thừa kế, tặng cho quyền sử dụng đất, hoặc góp vốn bằng quyền sử dụng đất.","['11. Chuyển mục đích sử dụng đất là việc người sử dụng đất được thay đổi từ mục đích sử dụng đất này sang mục đích sử dụng đất khác theo quy định của Luật này.\n    12. Chuyển quyền sử dụng đất là việc chuyển giao quyền sử dụng đất từ người này sang người khác thông qua hình thức chuyển đổi, chuyển nhượng, thừa kế, tặng cho quyền sử dụng đất, góp vốn bằng quyền sử dụng đất.\n    13. Cộng đồng dân cư là cộng đồng người Việt Nam sinh sống trên cùng địa bàn thôn, làng, ấp, bản, bon, buôn, phum, sóc, tổ dân phố và điểm dân cư tương tự có cùng phong tục, tập quán hoặc có chung dòng họ trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam.\n    14. Cơ sở dữ liệu quốc gia về đất đai là tập hợp các cơ sở dữ liệu đất đai trong đó dữ liệu được sắp xếp, tổ chức để truy cập, khai thác, chia sẻ, quản lý và cập nhật thông qua phương tiện điện tử.']",simple,MISSPELLED,LONG,single_hop_specific_query_synthesizer
Luật là gì trong việc đăng ký đất đai?,"Luật liên quan đến việc đăng ký đất đai quy định rằng người sử dụng đất, người sở hữu tài sản gắn liền với đất, và người được giao quản lý đất phải kê khai quyền sử dụng đất và quyền sở hữu tài sản gắn liền với đất với cơ quan nhà nước có thẩm quyền để được ghi nhận.","['15. Đăng ký đất đai, tài sản gắn liền với đất là việc người sử dụng đất, người sở hữu tài sản gắn liền với đất, người được giao quản lý đất kê khai quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất với cơ quan nhà nước có thẩm quyền để được ghi nhận theo quy định của Luật này.\n    16. Đất đang có tranh chấp là thửa đất có tranh chấp đất đai mà đang trong quá trình được cơ quan có thẩm quyền giải quyết.\n    17. Điều chỉnh thời hạn sử dụng đất là việc cơ quan nhà nước có thẩm quyền cho phép thay đổi thời hạn sử dụng đất trong quá trình sử dụng đất.\n    18. Gia hạn sử dụng đất là việc cơ quan nhà nước có thẩm quyền cho phép tiếp tục sử dụng đất khi hết thời hạn theo mục đích đang sử dụng theo quy định của Luật này.\n    19. Giá đất là giá trị của quyền sử dụng đất tính bằng tiền trên một đơn vị diện tích đất.']",simple,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
Nhà nước hỗ trợ gì khi thu hồi đất?,"Nhà nước hỗ trợ khi thu hồi đất là chính sách nhằm trợ giúp cho người có đất thu hồi, chủ sở hữu tài sản gắn liền với đất để ổn định đời sống, sản xuất và phát triển ngoài các khoản đã bồi thường theo quy định của Luật này.","['liên quan được thực hiện theo quy định của Luật này có giá trị pháp lý tương đương như Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất tại Luật này.\n    22. Góp vốn bằng quyền sử dụng đất là sự thỏa thuận giữa các bên về chuyển quyền sử dụng đất thông qua việc góp quyền sử dụng đất để tạo thành vốn điều lệ của tổ chức kinh tế, bao gồm góp vốn để thành lập tổ chức kinh tế hoặc góp thêm vốn điều lệ của tổ chức kinh tế đã được thành lập.\n    23. Hệ thống thông tin quốc gia về đất đai là hệ thống tổng hợp các yếu tố hạ tầng kỹ thuật công nghệ thông tin, phần mềm, dữ liệu được xây dựng thành một hệ thống tập trung, thống nhất trên phạm vi cả nước để quản lý, vận hành, cập nhật, khai thác thông tin đất đai.\n    24. Hỗ trợ khi Nhà nước thu hồi đất là chính sách của Nhà nước nhằm trợ giúp cho người có đất thu hồi, chủ sở hữu tài sản gắn liền với đất để ổn định đời sống, sản xuất và phát triển ngoài các khoản đã bồi thường theo quy định của Luật này.']",simple,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
Nhà nước cho thuê quyền sử dụng đất là gì?,Nhà nước cho thuê quyền sử dụng đất là việc cơ quan nhà nước có thẩm quyền ban hành quyết định cho thuê đất cho đối tượng có nhu cầu sử dụng đất.,"['28. Kế hoạch sử dụng đất là việc phân kỳ quy hoạch sử dụng đất theo thời gian\nđể thực hiện.\n    29. Kiểm kê đất đai là việc Nhà nước tổ chức điều tra, tổng hợp, đánh giá trên hồ sơ địa chính và trên thực địa về hiện trạng sử dụng đất tại thời điểm kiểm kê và biến động đất đai giữa 02 lần kiểm kê.\n    30. Lấn biển là việc mở rộng diện tích đất trong phạm vi từ đường mép nước biển thấp nhất trung bình trong nhiều năm về phía biển thuộc vùng biển Việt Nam.\n    31. Lấn đất là việc người sử dụng đất chuyển dịch mốc giới hoặc ranh giới thửa đất để mở rộng diện tích đất sử dụng mà không được cơ quan nhà nước có thẩm quyền cho phép hoặc không được người sử dụng hợp pháp diện tích đất bị lấn đó cho phép.\n    32. Nhà nước cho thuê quyền sử dụng đất (sau đây gọi là Nhà nước cho thuê đất) là việc cơ quan nhà nước có thẩm quyền ban hành quyết định cho thuê đất cho đối tượng có nhu cầu sử dụng đất.']",simple,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
What does Nhà nước mean in the context of land use rights?,"Nhà nước refers to the state authority that issues decisions regarding land use rights, including leasing, recognizing, granting, and recovering land use rights.","['32. Nhà nước cho thuê quyền sử dụng đất (sau đây gọi là Nhà nước cho thuê đất) là việc cơ quan nhà nước có thẩm quyền ban hành quyết định cho thuê đất cho đối tượng có nhu cầu sử dụng đất.\n    33. Nhà nước công nhận quyền sử dụng đất là việc cơ quan nhà nước có thẩm quyền cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất lần đầu cho người đang sử dụng đất ổn định đối với thửa đất xác định theo quy định của Luật này.\n    34. Nhà nước giao quyền sử dụng đất (sau đây gọi là Nhà nước giao đất) là việc cơ quan nhà nước có thẩm quyền ban hành quyết định giao đất cho đối tượng có nhu cầu sử dụng đất.\n    35. Nhà nước thu hồi đất là việc cơ quan nhà nước có thẩm quyền ban hành quyết định thu lại quyền sử dụng đất của người sử dụng đất hoặc thu lại đất của người đang sử dụng đất hoặc thu lại đất đang được Nhà nước giao quản lý.']",simple,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
What is the role of Nhà nước in land use payments in Vietnam?,"Nhà nước is responsible for collecting Tiền sử dụng đất, which is the amount that land users must pay when they are allocated land with a fee for land use, allowed to change the purpose of land use, or in cases where land use requires payment according to legal regulations. Additionally, Nhà nước collects Tiền thuê đất, which is the amount that land users must pay when they lease land from Nhà nước, allowing for changes in land use for leasing or in cases where land use requires payment for leasing according to legal regulations.","['44. Tiền sử dụng đất là số tiền mà người sử dụng đất phải trả cho Nhà nước khi được Nhà nước giao đất có thu tiền sử dụng đất, cho phép chuyển mục đích sử dụng đất hoặc các trường hợp sử dụng đất mà phải nộp tiền sử dụng đất theo quy định của pháp luật.\n    45. Tiền thuê đất là số tiền mà người sử dụng đất phải trả cho Nhà nước khi được Nhà nước cho thuê đất, cho phép chuyển mục đích sử dụng đất để cho thuê đất hoặc các trường hợp sử dụng đất mà phải nộp tiền thuê đất theo quy định của pháp luật.\n    46. Tổ chức kinh tế có vốn đầu tư nước ngoài là tổ chức kinh tế phải đáp ứng điều kiện và thực hiện thủ tục đầu tư quy định đối với nhà đầu tư nước ngoài theo quy định của Luật Đầu tư để thực hiện dự án có sử dụng đất.\n    47. Tranh chấp đất đai là tranh chấp về quyền, nghĩa vụ của người sử dụng đất giữa hai hoặc nhiều bên trong quan hệ đất đai.']",simple,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
